username,location,Anime-Watching,Anime-Completed,Anime-Total,Anime-Mean-Score,Manga-Reading,Manga-Completed,Manga-Total,Manga-Mean-Score
cygaj,,11,93,308,0.0,0,0,0,0.0
Felix-san,"Guarulhos, Brazil",3,570,795,6.88,112,146,757,7.03
Matesword1,"Toronto, Ontario",27,896,1385,6.74,327,86,543,6.94
Unzareh,"Ottawa, Ontario",11,271,377,6.71,43,31,127,6.66
embercore,,1,57,60,7.54,0,0,0,0.0
xVampyricLustx,England,22,188,222,7.5,0,0,0,0.0
Taburetkin,,1,25,62,7.76,0,2,2,7.0
AWeeb69,,7,123,169,7.71,3,3,11,9.75
notcrizo,,9,94,119,7.53,1,0,2,0.0
Zombiekiller01,Konoha,12,127,365,7.8,13,8,29,7.78
Lin159,,10,77,226,8.72,20,9,38,9.0
Mamokaru,North,0,102,102,6.8,0,0,0,0.0
danny_boy123,,10,243,355,0.0,1,0,1,0.0
Mesacboy,England,17,439,862,7.64,1,2,47,7.64
ThatNoobThere,,6,67,74,7.57,0,0,0,0.0
PackerPucker,,4,189,206,6.64,4,5,11,7.86
B-Rowdy,,54,200,891,7.08,0,1,9,8.0
Kaynan,,3,230,293,5.73,2,25,44,6.25
Rick0RangerXD,,5,149,765,7.7,9,0,9,10.0
khatie,"Kazincbarcika, Hungary",21,366,755,8.35,14,13,43,8.92
SSJEliseo,,28,262,290,0.0,0,0,0,0.0
Arjunverma123,,10,16,26,8.35,0,0,0,0.0
ThatRyujin,Czech Republic,3,153,211,7.47,1,1,7,10.0
Zaybu,,6,120,205,6.41,4,9,42,6.92
Sapiuter,Universo 7,45,195,424,7.33,21,6,49,9.33
Gioglock,,200,406,841,0.0,124,58,189,0.0
